body,rate,likes,dislikes,created_at,is_buyer,product_id,clean_body,word_count,char_len,unique_word_ratio,emoji_count,hour,dayofweek,iso_score,lof_score,knn_dist,ensemble_score,ocsvm_score,ae_score,threshold_Isolation,is_outlier_Isolation,threshold_LOF,is_outlier_LOF,threshold_KNN,is_outlier_KNN,threshold_Ensemble,is_outlier_Ensemble,threshold_OneClassSVM,is_outlier_OneClassSVM,threshold_Autoencoder,is_outlier_Autoencoder,votes,is_outlier_consensus,explain
"کاربری آسان،ارزش خرید نسبت به قیمت و با کیفیت .
واقعا راضی بودم عالی بود.",0.0,0,0,,True,3913860,کاربری آسان ارزش خرید نسبت به قیمت و با کیفیت واقعا راضی بودم عالی بود,15,70,1.0,0,-1,-1,-0.020234085995084305,-5161120850.473915,7.499453660183394,0.3694202952587123,-1.42280580602565,0.09161395290332433,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
ارزش خرید و خوندن داره، در مورد اهمیت تلاش برای رسیدن به اهدافه و برای نوجوونا عالیه، متن طنز و پر از مثاله و خسته‌کننده نیست، فقط قیمتش با توجه به تعداد صفحات یکم بالاست اما در کل ارزش خرید داره,5.0,1,0,,True,6198018,ارزش خرید و خوندن داره در مورد اهمیت تلاش برای رسیدن به اهدافه و برای نوجوونا عالیه متن طنز و پر از مثاله و خسته کننده نیست فقط قیمتش با توجه به تعداد صفحات یکم بالاست اما در کل ارزش خرید داره,42,192,0.7857142857142857,0,-1,-1,-0.02491537820284695,-5161120850.693773,6.6066520456675875,0.34870263455351364,-2.777867550015916,0.047414140776839246,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,0,3,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
اندازه مناسب و رنگ خوب و جنس پارچه ضخیمه. در کل مناسبه.,4.0,0,0,,True,7374094,اندازه مناسب و رنگ خوب و جنس پارچه ضخیمه در کل مناسبه,12,53,0.9166666666666666,0,-1,-1,-0.023522462352494444,-5161120851.143029,4.953758432759671,0.33364627253737034,-6.015183202195688,0.04291079253714779,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,0,3,1,تأیید چند مدل: Isolation، KNN، Ensemble
جنس خیلی خوب و تنخور راحت داشت. ,4.0,1,0,,True,1820149,جنس خیلی خوب و تنخور راحت داشت,7,30,1.0,0,-1,-1,-0.01546606007971707,-5161120851.206218,4.1294360403646015,0.3431881307738737,-5.242223898200418,0.15561606028953895,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، Ensemble، Autoencoder
نسبت به قیمت می ارزید,0.0,0,0,,False,3230966,نسبت به قیمت می ارزید,5,21,1.0,0,-1,-1,-0.0022070350657104054,-5161120851.087372,2.3145569697116963,0.35382343647108083,-0.32279321174944187,0.029629695750214232,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، Ensemble، OneClassSVM
بوی ملیح و مذهبی هست,3.0,0,0,,True,2750289,بوی ملیح و مذهبی هست,5,20,1.0,0,-1,-1,-3.282350607719531e-05,-5161120850.640064,7.231342841089392,0.41324336447428095,2.403892942481475,0.0279979378170903,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، KNN، Ensemble، OneClassSVM
قیافه داره،بسته بندی خوب داره،دسته و همه چیش خوب به نظر میاد و وسوسه انگیزه،ولی انگار ۱۰ بار استفاده شده بعد گذاشتن توی بسته،خیلی خشکه،صابونش که عملا هیچی،گرچه من همیشه با فوم اصلاح شیو میکنم ولی خب فقط نما داره،خشن و کند،اگرم تیز باشه و موهارو بزنه اما حرکتش روی پوست زبر و‌ خشن هست،برای نواحی زانو و اینا مصیبت قشنگ میبره و خون میاد.انقد خشنه که بیشتر برای کاکتوس به درد میخوره،کاملا ناراضی ام.بر خلاف برند خوب لرد ولی این تیغ کارایی لازم رو نداشت و صرفا برای زجر دادن و اصلاح با استرس و خونریزی به کار میاد.,1.5,9,0,,True,2959895,قیافه داره بسته بندی خوب داره دسته و همه چیش خوب به نظر میاد و وسوسه انگیزه ولی انگار بار استفاده شده بعد گذاشتن توی بسته خیلی خشکه صابونش که عملا هیچی گرچه من همیشه با فوم اصلاح شیو می کنم ولی خب فقط نما داره خشن و کند اگرم تیز باشه و موهارو بزنه اما حرکتش روی پوست زبر و خشن هست برای نواحی زانو و اینا مصیبت قشنگ میبره و خون میاد انقد خشنه که بیشتر برای کاکتوس به درد میخوره کاملا ناراضی ام بر خلاف برند خوب لرد ولی این تیغ کارایی لازم رو نداشت و صرفا برای زجر دادن و اصلاح با استرس و خونریزی به کار میاد,112,506,0.7678571428571429,0,-1,-1,-0.018652355754619043,-5161120851.1305,4.942379282799422,0.3448001777817881,-1.5537343318897179,0.0971758110273871,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,0,3,1,طول متن غیرمعمول (112 کلمه)؛ الگوی تعامل نامتوازن (لایک خیلی بالا نسبت به دیسلایک)؛ تأیید چند مدل: Isolation، KNN، Ensemble
من  اینو  سفارش  دادم  نسبت به  قیمتش  خوبه  ولی مرجوع  کردم  چون  اندازه  من  نبود  سعی  کنید  یکم  سایز  بزرگتر  سفارش  بدید  مناسب  تو خونه است  جنسش  خیلی  خوب  و  عالی  نیست  ولی  نسبت به  قیمتش  میرزه  ,3.4,0,0,,True,1161821,من اینو سفارش دادم نسبت به قیمتش خوبه ولی مرجوع کردم چون اندازه من نبود سعی کنید یکم سایز بزرگتر سفارش بدید مناسب تو خونه است جنسش خیلی خوب و عالی نیست ولی نسبت به قیمتش میرزه,37,175,0.8378378378378378,0,-1,-1,-0.03540367840524267,-5161120850.577686,5.820357981632409,0.3157132969322206,-4.672048248484421,0.21060754124222797,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,3,1,تأیید چند مدل: KNN، Ensemble، Autoencoder
کاملا خرید چوب سنتور رو پیشنهاد میکنم با توجه به کیفیت بالا,0.0,2,0,,True,844700,کاملا خرید چوب سنتور رو پیشنهاد می کنم با توجه به کیفیت بالا,13,60,1.0,0,-1,-1,-0.010657921687821204,-5161120850.9261465,5.853718078248839,0.37339652305983645,-4.24135718079399,0.20085057611305354,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
"سلام
من معمولا هر سری که یه ضد آفتاب تموم میکنم از یه برند دیگه استفاده میکنم حتی اگه از قبلی راضی باشم. در مورد این ضد آفتاب نمیدونم چجوری بعضی دوستان گفتن سریع جذب میشه . حتی اگر مقدار کمی هم رو صورت بزنی  تا بخوای کامل محو بشه دیوونت میکنه و کلی از وقتت رو میگیره آخرش هم کامل جذب نمیشه و عین کرم پودر روی صورت میمونه و من اصلا توصیه نمیکنم حداقل برای اونهایی که میخوان زدن ضدآفتلب روی صورتشون مشخص نباشه.. تنها نقطه قوتش شاید اینه که صورت رو براق نمیکنه ولی به جاش صورت کامل سفید میشه و انگار سفید کننده زدی به صورتت خصوصا توی نواحی که ته ریش هم باشه. خلاصه من پیشنهاد نمیکنم حداقل  واسه آقایان",2.5,7,9,,False,226782,سلام من معمولا هر سری که یه ضد آفتاب تموم می کنم از یه برند دیگه استفاده می کنم حتی اگه از قبلی راضی باشم در مورد این ضد آفتاب نمیدونم چجوری بعضی دوستان گفتن سریع جذب میشه حتی اگر مقدار کمی هم رو صورت بزنی تا بخوای کامل محو بشه دیوونت میکنه و کلی از وقتت رو میگیره آخرش هم کامل جذب نمیشه و عین کرم پودر روی صورت میمونه و من اصلا توصیه نمی کنم حداقل برای اونهایی که میخوان زدن ضدآفتلب روی صورتشون مشخص نباشه تنها نقطه قوتش شاید اینه که صورت رو براق نمیکنه ولی به جاش صورت کامل سفید میشه و انگار سفید کننده زدی به صورتت خصوصا توی نواحی که ته ریش هم باشه خلاصه من پیشنهاد نمی کنم حداقل واسه آقایان,128,594,0.734375,0,-1,-1,-0.007651616769630498,-5161120850.891813,9.649965439248186,0.4223494930838203,4.87634953808295,0.06134114030834248,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,4,1,طول متن غیرمعمول (128 کلمه)؛ تأیید چند مدل: Isolation، KNN، Ensemble، OneClassSVM
